municipio;regiao_administrativa;regiao_governo;populacao2017;pib2017;pib_per_capita2017;score;ranking;tarifa_agua_norm;tarifa_esgoto_norm;atendimento;coleta;tratamento;sqrt_inv_per_capita_norm;perdas_norm;desempenho_norm
Porto Feliz;Sorocaba;Sorocaba;   52507;  1926483; 36,690022;63,75411;279; 48,457350; 56,73981;100,00; 99,78; 80,05; 28,2280797; 64,5539010; 32,223758
Álvaro de Carvalho;Marília;Marília;    5119;    49483;  9,666536;63,75001;280; 53,176044; 62,38245; 62,85;100,00;100,00; 11,5396000; 95,7871961; 24,264762
Mongaguá;Santos;Santos;   54257;   986035; 18,173415;63,69948;281; 45,009074; 51,56740; 92,11; 87,26; 87,26; 41,2493515; 87,6670485; 17,472933
Americana;Campinas;Campinas;  233868; 10382873; 44,396296;63,68274;282; 65,154265; 64,42006;100,00;100,00; 64,56; 19,4213943; 62,4538628; 33,452354
Limeira;Campinas;Limeira;  300911; 12154751; 40,393176;63,65767;283; 30,308530; 34,95298; 97,02;100,00;100,00; 32,0463730; 82,9324170; 32,001075
Lagoinha;São José dos Campos;Taubaté;    4943;    54614; 11,048756;63,65487;284; 55,535390; 64,89028; 64,33;100,00;100,00; 12,3826145; 98,0908744; 14,009829
Ubirajara;Bauru;Bauru;    4734;    89199; 18,842205;63,62384;285; 50,090744; 59,40439; 76,38; 86,41; 86,41; 24,7100895;100,0000000; 25,585503
Pederneiras;Bauru;Bauru;   45708;  1723581; 37,708519;63,62292;286; 47,549909; 56,73981; 98,94; 94,99; 94,99; 15,6550503; 68,6012473; 31,517316
Igarapava;Franca;Franca;   30073;  1076232; 35,787318;63,59885;287; 49,183303; 58,93417; 94,17; 94,39; 94,39; 12,4832661; 78,1341479; 27,105890
Santa Cruz do Rio Pardo;Marília;Ourinhos;   47148;  2042409; 43,319102;63,49736;288; 47,005445; 56,26959; 99,77; 95,37; 95,37; 19,2110987; 60,0483645; 34,934347
Águas da Prata;Campinas;São João da Boa Vista;    8104;   153773; 18,974951;63,48106;289; 51,179673; 61,28527; 94,51; 95,61; 93,07; 25,8880474; 72,1267659; 14,178761
Sarutaiá;Itapeva;Itapeva;    3681;    64780; 17,598479;63,48008;290; 52,450091; 60,97179; 88,86; 89,23; 89,23;  1,6207484;100,0000000; 25,478000
Itaí;Itapeva;Itapeva;   26526;   587796; 22,159240;63,46459;291; 51,542650; 60,65831; 67,65; 98,15; 98,15; 15,0663866; 92,2998600; 24,199493
