municipio;regiao_administrativa;regiao_governo;populacao2017;pib2017;pib_per_capita2017;score;ranking;tarifa_agua_norm;tarifa_esgoto_norm;atendimento;coleta;tratamento;inv_per_capita_norm;perdas_norm;desempenho_norm
Alvinlândia;Marília;Marília;    3196;    63814; 19,966834;64,08957;212; 54,627949; 63,47962; 91,92; 99,00; 99,00;1,066960e+00; 88,6216113; 15,000384
Engenheiro Coelho;Campinas;Campinas;   19497;   596633; 30,601272;64,07261;213; 75,680581; 82,44514; 73,14; 97,02; 97,02;0,000000e+00; 57,1592211; 30,115949
Pereiras;Sorocaba;Botucatu;    8410;   198021; 23,545898;64,07213;214; 60,617060; 68,80878; 78,24;100,00; 93,95;4,325814e+00; 89,8689067; 16,766490
Altair;Barretos;Barretos;    4109;   210081; 51,127038;64,04895;215; 51,361162; 61,12853; 81,16; 98,64; 98,64;3,013813e+00;100,0000000; 18,448130
Paulo de Faria;São José do Rio Preto;São José do Rio Preto;    8953;   261240; 29,179046;64,02984;216; 52,268603; 61,28527; 88,25; 97,45; 97,45;3,172946e+00; 92,5162276; 19,845658
Avaré;Sorocaba;Avaré;   89479;  2621040; 29,292236;63,95495;217; 46,279492; 54,07524; 99,11; 99,91; 99,91;3,848961e+00; 73,9977090; 34,508178
Pedrinhas Paulista;Marília;Assis;    3087;   150809; 48,852932;63,93273;218; 47,912886; 58,46395; 88,27;100,00;100,00;3,383410e-01; 84,8288151; 31,647854
Oscar Bressane;Marília;Marília;    2616;    83957; 32,093654;63,90264;219; 49,727768; 58,30721; 87,32;100,00;100,00;1,282964e-01; 86,7506682; 28,987177
Glicério;Araçatuba;Araçatuba;    4800;    97062; 20,221250;63,87304;220; 52,631579; 61,91223; 66,28; 99,93; 99,93;1,602139e+00; 93,4453354; 35,253014
Brejo Alegre;Araçatuba;Araçatuba;    2812;   193425; 68,785562;63,84840;221; 52,450091; 62,22571; 92,33; 84,99; 84,99;2,510011e+00; 94,7944508; 36,496967
Lutécia;Marília;Assis;    2705;    92409; 34,162292;63,84601;222; 49,001815; 58,93417; 91,36;100,00;100,00;1,920151e+00; 88,0361461; 21,515780
Taciba;Presidente Prudente;Presidente Prudente;    6193;   152074; 24,555789;63,83116;223; 45,916515; 53,60502; 95,58; 99,91; 99,91;2,819003e+00; 87,1197658; 25,788989
Lupércio;Marília;Marília;    4573;    69516; 15,201400;63,81150;224; 53,720508; 62,69592; 89,67; 97,32; 97,32;1,272749e+00; 88,1634212; 20,329417
Morro Agudo;Franca;São Joaquim da Barra;   32220;  1328960; 41,246431;63,79487;225; 86,932849; 86,36364;100,00; 90,00; 90,00;0,000000e+00; 37,3934072; 19,669047
Presidente Prudente;Presidente Prudente;Presidente Prudente;  225271;  7806813; 34,655206;63,79123;226; 45,190563; 53,44828;100,00;100,00;100,00;3,120642e+00; 77,3832251; 31,187130
Flórida Paulista;Presidente Prudente;Adamantina;   14282;   196744; 13,775662;63,78595;227; 52,450091; 61,12853; 71,61;100,00;100,00;1,436223e+00; 90,5943744; 33,068417
Capão Bonito;Itapeva;Itapeva;   47463;   814415; 17,158945;63,75527;228; 50,453721; 59,56113; 88,76; 92,13; 92,13;3,347628e+00; 91,8543974; 31,805268
Areiópolis;Sorocaba;Botucatu;   11107;   134784; 12,135050;63,73552;229; 53,720508; 62,69592; 96,19; 95,60; 95,60;1,778197e+00; 80,8832888; 23,416264
Presidente Bernardes;Presidente Prudente;Presidente Prudente;   13420;   253922; 18,921162;63,70999;230; 48,820327; 58,30721; 86,11; 92,17; 92,17;1,779098e+00;100,0000000; 30,323274
Piratininga;Bauru;Bauru;   13335;   217591; 16,317285;63,66579;231; 48,457350; 57,83699; 88,93; 90,88; 90,88;2,908932e+00; 96,8944890; 32,538586
Gavião Peixoto;Região Administrativa Central;Araraquara;    4739;   839815;177,213547;63,66487;232; 90,562613; 90,28213;100,00; 61,86; 61,86;4,695631e-01; 36,3624793; 67,922138
Itobi;Campinas;São João da Boa Vista;    7853;   123341; 15,706227;63,62288;233; 51,724138; 61,12853; 90,54; 93,82; 93,82;9,374595e+00; 89,3598065; 19,216002
Borborema;Região Administrativa Central;Araraquara;   15791;   409114; 25,908049;63,59884;234; 71,687840; 79,31034; 90,13; 87,00; 87,00;5,739406e-01; 57,0446735; 36,043922
Altinópolis;Ribeirão Preto;Ribeirão Preto;   16219;   526939; 32,488994;63,58864;235; 89,110708; 91,22257; 87,37; 82,15; 82,15;1,835447e+00; 59,6665394; 15,203870
Icém;São José do Rio Preto;São José do Rio Preto;    8112;   179057; 22,073102;63,54635;236; 53,720508; 63,00940; 91,33; 91,43; 91,43;1,016032e+00; 96,7926690; 19,642172
Taguaí;Itapeva;Itapeva;   13111;   225749; 17,218290;63,53118;237; 51,724138; 61,28527; 87,62; 89,95; 89,95;6,256407e-01;100,0000000; 27,094371
Pirangi;Barretos;Barretos;   11323;   296223; 26,161176;63,49534;238; 70,417423; 76,95925;100,00; 95,33; 95,33;2,332478e-01; 53,3409698; 16,351839
Jaboticabal;Ribeirão Preto;Ribeirão Preto;   76563;  2752005; 35,944320;63,49091;239; 68,784029; 72,41379; 97,63; 94,04; 90,80;1,478744e-01; 51,8263968; 32,285188
Miguelópolis;Franca;Franca;   21973;  1121079; 51,020753;63,44649;240; 56,987296; 65,04702; 83,47;100,00;100,00;2,102317e+00; 76,8868525; 23,078400
Luís Antônio;Ribeirão Preto;Ribeirão Preto;   14021;  1323520; 94,395550;63,39944;241; 99,637024; 97,80564; 88,40; 74,62; 74,62;6,678194e-01; 67,6594120;  3,785610
Restinga;Franca;Franca;    7384;   166543; 22,554577;63,37820;242; 52,450091; 60,65831; 91,48; 97,35; 97,35;1,319140e+00; 88,6725213; 17,745527
Roseira;São José dos Campos;Guaratinguetá;   10512;   283507; 26,969844;63,33586;243; 52,268603; 62,38245; 93,20; 95,05; 95,05;4,173049e+00; 78,6432481; 25,919527
Sarutaiá;Itapeva;Itapeva;    3681;    64780; 17,598479;63,28077;244; 52,450091; 60,97179; 88,86; 89,23; 89,23;2,626825e-02;100,0000000; 25,478000
Boracéia;Bauru;Jaú;    4717;   279209; 59,192071;63,26581;245; 45,190563; 54,07524;100,00;100,00;100,00;1,892734e+00; 75,2704595; 29,697458
Ubarana;São José do Rio Preto;São José do Rio Preto;    6080;   349317; 57,453454;63,14289;246; 91,288566; 90,59561; 96,46; 70,00; 70,00;3,639952e-01; 68,3976072; 18,037319
Santos;Santos;Santos;  434742; 22532672; 51,829987;63,10358;247; 31,034483; 37,61755;100,00; 97,64; 97,64;3,429011e+00; 91,1034746; 46,364125
Jaborandi;Barretos;Barretos;    6917;   142101; 20,543733;63,08107;248; 54,264973; 63,63636; 81,62;100,00;100,00;1,646971e+00; 83,9378898; 19,542348
Rubinéia;São José do Rio Preto;Jales;    3102;    81574; 26,297228;63,07604;249; 52,087114; 62,53918;100,00; 78,41; 78,41;3,161269e+00;100,0000000; 30,000768
Santo Expedito;Presidente Prudente;Presidente Prudente;    3057;    38100; 12,463199;63,04876;250; 51,361162; 60,03135; 92,48; 87,21; 87,21;6,958820e+00; 94,9853634; 24,153421
Piraju;Itapeva;Itapeva;   29790;   700235; 23,505707;63,01816;251; 49,364791; 59,40439; 96,50; 96,84; 92,97;5,651447e+00; 74,0358916; 29,378791
Sandovalina;Presidente Prudente;Presidente Prudente;    4174;   396791; 95,062530;62,98256;252; 52,087114; 60,81505; 72,03;100,00;100,00;1,732863e+00; 92,3125875; 24,882899
Mira Estrela;São José do Rio Preto;Fernandópolis;    3045;    66657; 21,890640;62,96108;253; 51,179673; 59,56113; 62,69;100,00;100,00;6,716967e-01;100,0000000; 29,586117
Mococa;Campinas;São João da Boa Vista;   68994;  2228392; 32,298345;62,94735;254; 50,090744; 60,03135; 98,23; 93,18; 93,18;2,935650e+00; 77,6886852; 28,242340
Ocauçu;Marília;Marília;    4308;   124606; 28,924327;62,91953;255; 89,292196; 93,73041; 79,85; 83,48; 83,48;2,141991e+00; 49,4972636; 21,884358
Valinhos;Campinas;Campinas;  124024;  5734500; 46,237019;62,89155;256; 50,816697; 54,23197; 93,10;100,00;100,00;3,113089e+00; 70,6758305; 31,194809
Jaguariúna;Campinas;Campinas;   54204; 11346028;209,320862;62,80073;257; 69,872958; 74,29467; 97,11; 88,95; 76,35;7,500432e-01; 65,6993764; 29,378791
Santa Rita d'Oeste;São José do Rio Preto;Jales;    2544;    56605; 22,250393;62,79533;258; 89,473684; 96,39498; 72,55; 94,93; 94,93;1,213421e-01; 35,8024691; 18,160178
Votuporanga;São José do Rio Preto;Votuporanga;   92768;  2808057; 30,269673;62,76991;259; 53,539020; 51,41066;100,00; 79,82; 79,82;2,487693e+00; 85,3506427; 49,731245
Taubaté;São José dos Campos;Taubaté;  307953; 16799723; 54,552880;62,76145;260; 43,920145; 55,95611;100,00; 95,78; 95,78;2,340551e+00; 66,8957617; 41,419028
Nhandeara;São José do Rio Preto;Votuporanga;   11398;   318012; 27,900684;62,73861;261; 49,001815; 56,11285; 86,03; 97,51; 97,51;2,651220e+00; 94,9980909; 18,094909
Bernardino de Campos;Marília;Ourinhos;   11180;   236668; 21,168873;62,71147;262; 45,916515; 51,56740; 92,05;100,00;100,00;3,780514e-01; 85,2997327; 26,480074
Fernão;Marília;Marília;    1691;    46064; 27,240686;62,69862;263; 49,364791; 59,24765; 59,21;100,00;100,00;8,365270e+00;100,0000000; 25,401213
Pindamonhangaba;São José dos Campos;Taubaté;  164000;  7003490; 42,704207;62,67560;264; 47,731397; 57,99373;100,00; 93,71; 93,71;3,946293e+00; 72,8267787; 31,486601
Terra Roxa;Barretos;Barretos;    9227;   147580; 15,994364;62,60266;265; 51,724138; 61,28527; 82,78;100,00;100,00;1,781740e+00; 78,5668830; 24,683253
Pedranópolis;São José do Rio Preto;Fernandópolis;    2547;    63904; 25,089910;62,58155;266; 52,813067; 61,75549; 77,27; 95,11; 95,11;5,450411e-01;100,0000000; 18,048837
Pratânia;Sorocaba;Botucatu;    5126;   112344; 21,916504;62,57289;267; 52,087114; 61,12853; 91,54; 95,95; 95,95;1,489589e+00; 72,2413135; 30,196575
Silveiras;São José dos Campos;Cruzeiro;    6228;    67360; 10,815671;62,55741;268; 52,450091; 61,91223; 63,94; 90,58; 90,58;2,612712e+01;100,0000000; 14,869846
Álvaro de Carvalho;Marília;Marília;    5119;    49483;  9,666536;62,47401;269; 53,176044; 62,38245; 62,85;100,00;100,00;1,331624e+00; 95,7871961; 24,264762
Santa Cruz da Esperança;Ribeirão Preto;Ribeirão Preto;    2110;    55604; 26,352607;62,43715;270; 52,087114; 61,91223; 83,00; 96,46; 96,46;1,607331e+00; 92,3634975; 15,607003
Aparecida d'Oeste;São José do Rio Preto;Jales;    4329;   125464; 28,982213;62,40966;271; 40,471869; 41,37931; 89,16; 95,91; 95,91;2,788295e+00; 94,0817106; 39,576135
São Manuel;Sorocaba;Botucatu;   40692;  1104715; 27,148211;62,37967;272; 49,909256; 59,40439; 99,90; 92,89; 92,89;2,882254e+00; 69,5558101; 31,605621
Chavantes;Marília;Ourinhos;   12487;   211527; 16,939777;62,35286;273; 80,762250; 89,18495; 92,15; 89,60; 89,60;0,000000e+00; 37,1770396; 20,348614
Peruíbe;Santos;Santos;   66572;  1346872; 20,231809;62,30967;274; 42,468240; 48,11912; 96,66; 90,44; 90,44;2,644950e+01; 86,8652157; 17,035245
Lagoinha;São José dos Campos;Taubaté;    4943;    54614; 11,048756;62,29871;275; 55,535390; 64,89028; 64,33;100,00;100,00;1,533291e+00; 98,0908744; 14,009829
Igarapava;Franca;Franca;   30073;  1076232; 35,787318;62,23323;276; 49,183303; 58,93417; 94,17; 94,39; 94,39;1,558319e+00; 78,1341479; 27,105890
