"ranking","municipio","score","regiao_governo","regiao_administrativa","pib2017","pib_per_capita2017","tipo_prestador","populacao","inv_per_capita","tarifa_agua","desempenho","perdas","consumo_agua","atendimento","tarifa_esgoto","coleta","tratamento","tarifa_agua_norm","tarifa_esgoto_norm","inv_per_capita_norm","perdas_norm","desempenho_norm"
81,"Valentim Gentil",66.9820224346245,"Votuporanga","São José do Rio Preto",328002,25.62515625,"Soc. de Econ. Mista com Adm. Pública",12800,27.8156126572627,2.8,97.68,5.17,161.48,100,2.53,100,100,51.3611615245009,60.3448275862069,2.05028236142673,93.4198803614611,28.6800276434001
82,"Uru",66.8241883758432,"Lins","Bauru",54568,45.2096106048053,"Soc. de Econ. Mista com Adm. Pública",1207,19.3752336448598,2.86,86.2,0,175.3,100,2.64,100,100,50.2722323049002,58.6206896551724,1.42814398086629,100,24.2724410658067
83,"Narandiba",66.8067075633331,"Presidente Prudente","Presidente Prudente",204905,43.1742520016856,"Soc. de Econ. Mista com Adm. Pública",4746,24.7862029527968,2.85,93.63,0,145.2,95.45,2.57,99.94,99.94,50.453720508167,59.717868338558,1.82698527431478,100,27.1250863856254
84,"Cravinhos",66.7821233327946,"Ribeirão Preto","Ribeirão Preto",1035236,29.8760786124499,"Administração pública",34651,0.924624264243671,1.32,88.01,26.21,274.17,97.51,1.07,91.81,91.81,78.2214156079855,83.2288401253918,0.0681538401934495,66.6412116583938,24.9673654303924
85,"Anhumas",66.734793114697,"Presidente Prudente","Presidente Prudente",83443,20.5879595361461,"Soc. de Econ. Mista com Adm. Pública",4053,56.9241444308446,2.84,90.89,0,144.61,98.14,2.62,97.95,97.95,50.6352087114338,58.9341692789969,4.19586549122423,100,26.0731014359211
86,"Oriente",66.7235160606077,"Marília","Marília",99054,15.3026417426232,"Soc. de Econ. Mista com Adm. Pública",6473,14.8224233081548,2.68,89.07,3.24,140.35,95.21,2.38,100,100,53.5390199637024,62.6959247648903,1.09255738626973,95.8762886597938,25.374337710205
87,"Tupã",66.6995866651996,"Tupã","Marília",1760413,26.7710848870099,"Soc. de Econ. Mista com Adm. Pública",65758,42.176852024375,3.1,121.76,3.64,177.93,100,2.88,98.21,98.21,45.9165154264973,54.858934169279,3.10884598630269,95.3671884943363,37.9252092451816
88,"Nova Guataporanga",66.6394987027252,"Dracena","Presidente Prudente",27941,12.1271701388889,"Soc. de Econ. Mista com Adm. Pública",2304,29.925636915078,2.77,109.96,7.78,155,94.54,2.49,100,100,51.9056261343013,60.9717868338558,2.2058117603757,90.0980017818506,33.3947631114183
89,"Mariápolis",66.6375509954023,"Adamantina","Presidente Prudente",60752,14.8646929287986,"Soc. de Econ. Mista com Adm. Pública",4087,37.2966519499632,2.69,102.67,0.86,152.95,85.11,2.4,100,100,53.3575317604356,62.3824451410658,2.74912757002732,98.9054346442663,30.5958688474238
90,"Sud Mennucci",66.6313673512427,"Andradina","Araçatuba",179283,23.1841458683564,"Soc. de Econ. Mista com Adm. Pública",7733,21.5653775298391,2.82,99.15,3.42,156.21,96.17,2.52,99.45,99.45,50.9981851179673,60.5015673981191,1.58957897896213,95.6471935853379,29.2444137295554
91,"Floreal",66.5736157947892,"Votuporanga","São José do Rio Preto",59454,19.9376257545272,"Soc. de Econ. Mista com Adm. Pública",2982,34.035875937287,2.85,110.01,4.37,175.46,92.37,2.59,100,100,50.453720508167,59.4043887147335,2.50877652596689,94.4380806923762,33.4139599170698
92,"Urânia",66.5617026062987,"Jales","São José do Rio Preto",191071,20.8866418889375,"Soc. de Econ. Mista com Adm. Pública",9148,33.5670838823013,2.93,111.7,2.4,158.73,94.21,2.82,100,100,49.0018148820327,55.7993730407524,2.47422197225789,96.9453990072547,34.0628119480918
93,"Araçatuba",66.525139638478,"Araçatuba","Araçatuba",6970533,35.7694356353336,"Empresa privada",194874,139.411443683184,2.38,107.46,24.76,205.5,98.07,2.3,100,100,58.983666061706,63.9498432601881,10.2759851989109,68.4866997581774,32.4349228288413
94,"Sales",66.5161677081263,"Catanduva","São José do Rio Preto",142344,23.16796875,"Administração pública",6144,0,1.07,107.35,34.96,205.22,90.02,1.36,97.52,95.25,82.7586206896552,78.6833855799373,0,55.5046455390098,32.3926898564079
95,"Santa Adélia",66.4972104393572,"Catanduva","São José do Rio Preto",323261,21.0854477855326,"Administração pública",15331,37.5684269662921,0.75,81.65,13.17,227.21,98.43,0.61,76.81,69.2,88.5662431941924,90.4388714733542,2.76916004348463,83.23787705231,22.5255317515165
96,"Sagres",66.495439614372,"Adamantina","Presidente Prudente",43299,17.651447207501,"Soc. de Econ. Mista com Adm. Pública",2453,19.590726899384,2.7,106.42,3.61,145.82,87.52,2.4,100,100,53.1760435571688,62.3824451410658,1.44402793870685,95.4053710067456,32.0356292712893
97,"Quintana",66.4803869527565,"Tupã","Marília",157247,24.0807044410413,"Soc. de Econ. Mista com Adm. Pública",6530,77.9867025960225,3.02,93.6,0.12,156.71,100,2.9,98.61,98.61,47.3684210526316,54.5454545454545,5.74838177136856,99.8472699503627,27.1135683022345
98,"Magda",66.449009903282,"Votuporanga","São José do Rio Preto",106567,33.4590266875981,"Soc. de Econ. Mista com Adm. Pública",3185,66.3998883928571,2.84,97.98,2.44,165.85,94.26,2.8,100,100,50.6352087114338,56.1128526645768,4.89432038222724,96.8944889907089,28.7952084773094
99,"Vargem Grande do Sul",66.4471478598811,"São João da Boa Vista","Campinas",945585,22.3489718742614,"Administração pública",42310,16.8455793578089,1.58,98.9,13.99,165.79,98.8,1.35,88.34,79.51,73.502722323049,78.8401253918495,1.24168374973082,82.1942217131221,29.1484297012977
